28/10/2022 10:59:55.369245
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.223,-0.015,0.940
0.189,0.036,1.581
0.673,0.064,1.216
0.856,0.100,0.281
0.647,0.077,-0.299
0.308,0.013,-0.855
-0.104,-0.027,0.129
-0.025,-0.043,0.358
0.109,0.012,1.005
0.423,0.050,0.258
0.358,0.028,-0.813
-0.059,-0.023,-1.268
-0.490,-0.097,-1.794
-0.933,-0.111,-0.213
-0.671,-0.063,0.511
-0.249,-0.011,0.823
0.129,0.031,0.036
0.093,-0.013,-0.975
-0.288,-0.026,-1.045
-0.553,-0.084,-0.365
-0.473,-0.046,0.940
0.028,0.023,1.628
0.590,0.050,1.396
0.864,0.107,0.449
0.712,0.088,0.031
0.465,0.035,-0.785
0.021,-0.012,0.181
0.074,-0.032,0.478
0.215,0.027,1.041
0.498,0.054,-0.028
